,max_lives,reject_rate,win_rate,num_words_cheated,num_words_doubted,num_words_doubted_correct
0,6,0.0,0.356,0,66,0
1,6,0.1,0.273,316,100,57
2,6,0.2,0.236,493,117,82
3,6,0.3,0.202,646,142,120
4,6,0.4,0.148,752,134,111
5,6,0.5,0.141,815,130,112
6,6,0.6,0.142,870,130,122
7,6,0.7,0.143,885,138,128
8,6,0.8,0.146,914,140,133
9,6,0.9,0.131,944,127,120
10,6,1.0,0.139,952,141,134
11,7,0.0,0.417,0,123,0
12,7,0.1,0.397,310,167,106
13,7,0.2,0.343,529,222,176
14,7,0.3,0.296,677,248,204
15,7,0.4,0.304,785,264,241
16,7,0.5,0.254,850,241,220
17,7,0.6,0.265,893,255,239
18,7,0.7,0.253,920,247,233
19,7,0.8,0.234,936,230,217
20,7,0.9,0.238,952,234,224
21,7,1.0,0.223,959,217,211
22,8,0.0,0.499,0,166,0
23,8,0.1,0.506,330,284,178
24,8,0.2,0.458,537,332,248
25,8,0.3,0.426,681,342,288
26,8,0.4,0.436,802,386,358
27,8,0.5,0.408,850,384,356
28,8,0.6,0.415,904,399,381
29,8,0.7,0.398,931,388,376
30,8,0.8,0.392,946,391,378
31,8,0.9,0.437,964,426,418
32,8,1.0,0.432,969,419,414
