epoch,loss
0,3.4671204
1000,2.7981522
2000,2.865932
3000,2.8312836
4000,2.907662
5000,2.8660452
6000,2.7422707
7000,2.8846016
8000,2.7941422
9000,2.8368077
10000,2.7793183
11000,2.9320724
12000,2.9338822
13000,3.0068421
14000,2.797837
15000,2.8263948
16000,2.8027916
17000,2.5987082
18000,2.8388839
19000,2.850003
20000,2.9656224
